company,busnessrc,product,exposqtr,channel,p,sumInsured,yearsInsured,payFreq,occupancy,policyPremiscnt,locality,claimsExp,premiseSurveyed,stateRisk,buildingSI,contentsSI,stockSI,cusGoodsSI,otherItemsSI,accdamageSI,fireprotecAlarm,fireprotecBlanket,fireprotecBmonitored,fireprotecFexting,fireprotecHose,fireprotecMonitored,fireprotecMthermal,fireprotecNthermal,fireprotecNmonitored,fireprotecEpswall,fireprotecSprinklers,standardExcess,voluntaryExcess,underwriterAdjPerc,claimExpDiscountPerc,bundleSectionCount,FMAcommissionPerc,ContStockOtherSI,SECY_ALARMLNMON,SECY_CCTVUNK,SECY_DBOLLARD,SECY_DEADLOCKS,SECY_ELECTRONIC,SECY_FENCING,SECY_LIGHTING,SECY_SECUPER24,SECY_WBOLLARD,SECY_WINDOWBAR,SECY_WINDOWFLM,SECY_WINDOWLCK,SECY_ALARMDIAL,SECY_ALARMDIGI,SECY_ALARMDLL,SECY_DOORGRIL,SECY_WINDOWGRL,FFL_zone,walltype,rooftype,floortype,firep_fr_b,firep_fr_c,sec_fr_c,TEAL,mean_property_age,total_private_dwellings_2011,angle_from_road,babvic_score,difference_in_elevation,distance_to_road,fire_station_dist,ppdamage_score,police_station_dist,mvthefts_per_yr,suncorp_household_score,AREA,HousePrc,length_rddrv_301,length_rddrv_302,length_rddrv_303,length_rddrv_304,length_rddrv_306,length_rddrv_308,advdisadv,occ_cso_fire,yearOfConstr,datatype,weight,target
13,C,BC,2013Q1,BISA,GIFR,200000,0,M,TENANT,1,MAINRD,0,UNKNOWN,NSW,0,180000,20000,0,0,0,N,Y,N,Y,N,N,N,N,N,N,N,200,0,-0.081628767,0,7,0,200000,,,,,,,,,,,,,,,,,,1,BRICK,ALLOYSTEEL,WOOD,0,0,0,,34.62706383,213.0845592,0.135531569,7.785949506,0.10584344,34.54949557,1.938401171,4.590559824,2.642962793,1.162176451,2.536144578,12.2599,379000,2.913279454,0.817824105,,0.188381619,0.871911947,1.117835893,808.5814799,OC_R_FF_06,1960,M,1,160515.7596
13,C,BC,2013Q3,BISA,GIFR,260000,0,,TENANT,1,MAINRD,0,UNKNOWN,NSW,0,250000,10000,0,0,0,N,Y,N,Y,N,N,N,N,N,N,N,200,0,-0.081633157,0,7,0,260000,,,,,,,,,,,,,,,,,,1,BRICK,CONCRETE,CONCRETE,0,0,2,,59.42881847,244.2273816,-0.800980231,2.904179409,-0.387188838,81.21269224,1.615554815,9.825979321,0.732525582,0.659903687,6.183427495,9.59853,877000,1.422727538,0.31794662,7.730206083,0.345391642,5.668620053,0.416532188,1106.967148,OC_R_FF_06,1990,M,1,36647
13,C,BC,2015Q3,BISA,GIFR,69629,2,,TENANT,1,SCENTREEXT,0,UNKNOWN,WA,0,64273,5356,0,0,0,N,Y,N,Y,N,N,N,N,N,N,N,200,0,-0.081621742,0,6,0,69629,,,,,,,,,,,,,,,,,,1,BRICK,ALLOYSTEEL,CONCRETE,0,0,0,BIS to BIC,21.4283487,310.5857449,0.360055141,19.43675595,0.470290534,44.55615062,3.730176722,18.58668155,4.295550104,1.341492582,4.748581039,16.7526,339500,1.585601842,7.955810259,1.09848258,0.674509485,8.990915461,1.636256099,1017.486559,OC_R_FF_07,1995,M,1,68913.89999
13,C,BC,2013Q1,BISA,GIFR,81500,0,,TENANT,0,SUBSTGRND,0,UNKNOWN,VIC,0,73000,8500,0,0,0,N,N,N,Y,N,N,N,N,N,N,N,200,0,-0.0816261,0,0,0,81500,,,,,,,,,,,,,,,,,,0,BRICK,ALLOYSTEEL,CONCRETE,0,0,0,,16.07878565,352.569975,0.048982451,5.262198777,0.10455183,164.1886896,1.296902415,2.512288694,1.286425432,0.278156014,6.961109288,99.4625,278250,1.396705308,2.681258283,5.040125886,0.434821559,0.887272167,1.074019691,1063.617337,OC_R_FF_06,1980,T,1,100058.7698
13,C,BC,2015Q2,BICM,GIFR,44349,2,M,TENANT,1,SUBSTFRST,1,UNKNOWN,NSW,0,42849,0,0,1500,0,N,N,N,N,N,N,N,N,N,N,N,200,0,-0.08164678,0,5,0,44349,,,,,,,,,,,,,,,,,,4,CONCRETSTO,CONCRETE,CONCRETE,45,30,0,,26.69732336,299.4011681,-0.133118859,2.302661382,-0.12150687,45.76440982,0.704979372,7.529869762,0.895727904,1.113900025,5.68723155,5.04858,720000,,0.336678351,,0.691842318,3.492304186,0.416642742,1082.841916,OC_R_FF_07,1980,M,1,2830.070003
13,C,BC,2013Q1,BISA,GIFR,65000,0,M,TENANT,1,SUBSTGRND,0,UNKNOWN,NSW,0,60000,5000,0,0,0,Y,Y,N,Y,N,N,N,N,N,N,N,200,0,-0.081628259,0,8,0,65000,,,,,,,,,,,,,,,,,,2,BRICK,ALLOYSTEEL,WOOD,0,0,2,,25.07947339,261.0607228,0.327699314,10.15362752,0.383757962,51.9675108,0.954834569,9.00104712,1.471231157,1.262108789,5.442109285,7369.23,300000,0.743911423,1.575186256,1.112120402,,0.527835194,1.124743101,955.2221756,OC_R_FF_06,1930,M,1,6289.31
13,C,BC,2015Q4,BICM,GIFR,12712,2,M,TENANT,1,MAINRD,0,UNKNOWN,NSW,0,10712,0,0,2000,0,N,N,N,N,N,N,N,N,N,N,N,200,0,0,0,4,0,12712,,,,,,,,,,,,,,,,,,1,BRICK,ALLOYSTEEL,CONCRETE,0,0,0,,64.42932975,267.3250748,0.515439092,6.144503715,0.426189355,32.88434568,0.58312021,13.24395123,0.569889282,2.096400573,4.657335069,1.9637,543500,0.319532417,0.385215175,3.805788117,0.376306407,5.753267007,0.308984135,1083.380795,OC_R_FF_07,1930,T,1,5942.730001
13,C,BC,2014Q1,BICM,GIFR,61050,1,,TENANT,1,MAINRD,0,UNKNOWN,QLD,0,31050,30000,0,0,0,N,N,N,N,N,N,N,N,N,N,N,200,0,0.031841998,0,6,0,61050,,,,,,,,,,,,,,,,,,2,BRICK,ALLOYSTEEL,CONCRETE,0,0,2,,17.64049425,281.1230195,0.084846243,15.46593674,0.116645846,41.60135583,2.167523626,9.024178832,0.872831713,0.24403399,5.467819576,19.2058,410000,6.272490339,,0.825646354,0.484856752,,1.243253391,1087.485313,OC_R_FF_04,2002,M,1,16924.02001
13,C,BC,2013Q2,BISA,GIFR,185000,0,,TENANT,0,MAINRD,0,UNKNOWN,VIC,0,5000,180000,0,0,0,N,N,N,N,N,N,N,N,N,N,N,200,0,0,0,0,0,185000,,,,,,,,,,,,,,,,,,1,BRICK,ASBESTOS,UNKNOWN,0,0,0,,12.03901827,568.9057246,-0.081561313,12.01288128,0.09575285,39.03750488,1.719129056,15.93040763,1.733005392,3.765570321,4.472982657,128.745,290000,1.954414846,6.640940873,1.534869087,0.634209135,1.031974835,1.406638854,984.6592797,OC_R_FF_03,2006,M,1,73779
13,C,BC,2013Q1,BICM,GIFR,200000,0,,TENANT,0,MAINRD,0,UNKNOWN,NSW,0,200000,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,200,300,-0.081637159,0,0,0,200000,,,,,,,,,,,,,,,,,,2,CONCRETSTO,CONCRETE,CONCRETE,0,0,0,,30.00070954,251.046118,0.516932562,2.233627497,0.394829097,43.30886723,1.282758625,6.065954482,1.340650898,1.658891222,4.772110435,5.94609,387500,2.243464615,2.861471994,4.448580612,0.265991973,4.011200868,0.447490665,920.0437677,OC_R_FF_06,1980,T,1,172151.7998
